"TU_RLTY_KID";"Полный адрес";"Нас. пункт";"Тип нас.пункта";"Тип улицы";"Улица";"№ дома";"Строение";"Квартира/Помещение";"ФИАС дома"
"4377879";"г. Киров, пр-т  Октябрьский, д. 80, кв. 50";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"50";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4401697";"г. Киров, пр-т  Октябрьский, д. 80, кв. 51";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"51";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4702175";"г. Киров, пр-т  Октябрьский, д. 80, кв. 54";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"54";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4442189";"г. Киров, пр-т  Октябрьский, д. 80, кв. 55";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"55";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4499957";"г. Киров, пр-т  Октябрьский, д. 80, кв. 56";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"56";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4506259";"г. Киров, пр-т  Октябрьский, д. 80, кв. 57";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"57";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4550223";"г. Киров, пр-т  Октябрьский, д. 80, кв. 58";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"58";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4544135";"г. Киров, пр-т  Октябрьский, д. 80, кв. 59";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"59";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4531571";"г. Киров, пр-т  Октябрьский, д. 80, кв. 6";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"6";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4487423";"г. Киров, пр-т  Октябрьский, д. 80, кв. 60";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"60";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4755785";"г. Киров, пр-т  Октябрьский, д. 80, кв. 61";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"61";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4383807";"г. Киров, пр-т  Октябрьский, д. 80, кв. 62";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"62";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4593177";"г. Киров, пр-т  Октябрьский, д. 80, кв. 63";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"63";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4599529";"г. Киров, пр-т  Октябрьский, д. 80, кв. 64";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"64";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4642595";"г. Киров, пр-т  Октябрьский, д. 80, кв. 65";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"65";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4675859";"г. Киров, пр-т  Октябрьский, д. 80, кв. 66";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"66";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4401699";"г. Киров, пр-т  Октябрьский, д. 80, кв. 67";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"67";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4630119";"г. Киров, пр-т  Октябрьский, д. 80, кв. 68";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"68";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4750049";"г. Киров, пр-т  Октябрьский, д. 80, кв. 69";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"69";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4568881";"г. Киров, пр-т  Октябрьский, д. 80, кв. 7";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"7";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4544137";"г. Киров, пр-т  Октябрьский, д. 80, кв. 70";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"70";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4580917";"г. Киров, пр-т  Октябрьский, д. 80, кв. 71";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"71";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4401701";"г. Киров, пр-т  Октябрьский, д. 80, кв. 75";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"75";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4377881";"г. Киров, пр-т  Октябрьский, д. 80, кв. 76";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"76";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4645949";"г. Киров, пр-т  Октябрьский, д. 80, кв. 77";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"77";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4461751";"г. Киров, пр-т  Октябрьский, д. 80, кв. 78";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"78";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4544139";"г. Киров, пр-т  Октябрьский, д. 80, кв. 79";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"79";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4544131";"г. Киров, пр-т  Октябрьский, д. 80, кв. 8";"Киров";"г.";"пр-т ";"Октябрьский";"80";"";"8";"0541ef57-6f4a-4787-81a9-23beb732a27f"
"4567183";"г. Киров, ул. Воровского, д. 155, кв. 81";"Киров";"г.";"ул.";"Воровского";"155";"";"81";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
"4652915";"г. Киров, ул. Воровского, д. 155, кв. 82";"Киров";"г.";"ул.";"Воровского";"155";"";"82";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
"4517313";"г. Киров, ул. Воровского, д. 155, кв. 83";"Киров";"г.";"ул.";"Воровского";"155";"";"83";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
"4536139";"г. Киров, ул. Воровского, д. 155, кв. 84";"Киров";"г.";"ул.";"Воровского";"155";"";"84";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
"4453455";"г. Киров, ул. Воровского, д. 155, кв. 85";"Киров";"г.";"ул.";"Воровского";"155";"";"85";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
"4735401";"г. Киров, ул. Воровского, д. 155, кв. 86";"Киров";"г.";"ул.";"Воровского";"155";"";"86";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
"4622347";"г. Киров, ул. Воровского, д. 155, кв. 87";"Киров";"г.";"ул.";"Воровского";"155";"";"87";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
"4433809";"г. Киров, ул. Воровского, д. 155, кв. 88";"Киров";"г.";"ул.";"Воровского";"155";"";"88";"28b2e4a6-83df-48cb-8795-31b8554cf1b3"
"4472675";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 205";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"205";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4712145";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 206";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"206";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4706183";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 207";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"207";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4730157";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 208";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"208";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4693683";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 209";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"209";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4584891";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 21";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"21";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4523085";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 210";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"210";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4374505";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 211";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"211";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4718199";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 212";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"212";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4597469";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 213";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"213";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4700275";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 214";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"214";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4694285";"г. Киров, ул. Маршала И.С.Конева, д. 13, кв. 215";"Киров";"г.";"ул.";"Маршала И.С.Конева";"13";"";"215";"1e6bf56e-6eee-4304-ba88-b7f3931e3d03"
"4443245";"г. Киров, ул. Советская, д. 71, кв. 1";"Киров";"г.";"ул.";"Советская";"71";"";"1";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4475741";"г. Киров, ул. Советская, д. 71, кв. 10";"Киров";"г.";"ул.";"Советская";"71";"";"10";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4703115";"г. Киров, ул. Советская, д. 71, кв. 11";"Киров";"г.";"ул.";"Советская";"71";"";"11";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4733003";"г. Киров, ул. Советская, д. 71, кв. 12";"Киров";"г.";"ул.";"Советская";"71";"";"12";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4462643";"г. Киров, ул. Советская, д. 71, кв. 13";"Киров";"г.";"ул.";"Советская";"71";"";"13";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4715119";"г. Киров, ул. Советская, д. 71, кв. 14";"Киров";"г.";"ул.";"Советская";"71";"";"14";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4745009";"г. Киров, ул. Советская, д. 71, кв. 15";"Киров";"г.";"ул.";"Советская";"71";"";"15";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4472163";"г. Киров, ул. Советская, д. 71, кв. 16";"Киров";"г.";"ул.";"Советская";"71";"";"16";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4790647";"г. Киров, ул. Советская, д. 71, кв. 16";"Киров";"г.";"ул.";"Советская";"71";"";"16";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4557451";"г. Киров, ул. Советская, д. 71, кв. 17";"Киров";"г.";"ул.";"Советская";"71";"";"17";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4469319";"г. Киров, ул. Советская, д. 71, кв. 18";"Киров";"г.";"ул.";"Советская";"71";"";"18";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4563561";"г. Киров, ул. Советская, д. 71, кв. 19";"Киров";"г.";"ул.";"Советская";"71";"";"19";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4739035";"г. Киров, ул. Советская, д. 71, кв. 2";"Киров";"г.";"ул.";"Советская";"71";"";"2";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4557453";"г. Киров, ул. Советская, д. 71, кв. 20";"Киров";"г.";"ул.";"Советская";"71";"";"20";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4745011";"г. Киров, ул. Советская, д. 71, кв. 21";"Киров";"г.";"ул.";"Советская";"71";"";"21";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4416625";"г. Киров, ул. Советская, д. 71, кв. 22";"Киров";"г.";"ул.";"Советская";"71";"";"22";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4715121";"г. Киров, ул. Советская, д. 71, кв. 23";"Киров";"г.";"ул.";"Советская";"71";"";"23";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4594175";"г. Киров, ул. Советская, д. 71, кв. 24";"Киров";"г.";"ул.";"Советская";"71";"";"24";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4806349";"г. Киров, ул. Советская, д. 71, кв. 24";"Киров";"г.";"ул.";"Советская";"71";"";"24";"02a23c0c-be43-45d9-85f4-ef0a9e240d27"
"4631181";"г. Киров, ул. Широнинцев, д. 7А, кв. 8";"Киров";"г.";"ул.";"Широнинцев";"7А";"";"8";"a9d73ce8-c7e3-4da1-b647-a8f043ed329a"
"4594247";"г. Киров, ул. Широнинцев, д. 7А, кв. 9";"Киров";"г.";"ул.";"Широнинцев";"7А";"";"9";"a9d73ce8-c7e3-4da1-b647-a8f043ed329a"
"4326146";"г. Киров, ул. Широнинцев, д. 9";"Киров";"г.";"ул.";"Широнинцев";"9";"";"";"087f7293-d428-49b4-a940-7b1d9b76ac6d"
"4379621";"г. Киров, ул. Широнинцев, д. 9";"Киров";"г.";"ул.";"Широнинцев";"9";"";"";"087f7293-d428-49b4-a940-7b1d9b76ac6d"
"4513733";"г. Киров, ул. Широнинцев, д. 9, кв. 1";"Киров";"г.";"ул.";"Широнинцев";"9";"";"1";"087f7293-d428-49b4-a940-7b1d9b76ac6d"
"4469385";"г. Киров, ул. Широнинцев, д. 9, кв. 10";"Киров";"г.";"ул.";"Широнинцев";"9";"";"10";"087f7293-d428-49b4-a940-7b1d9b76ac6d"
"4452595";"г. Киров, ул. Широнинцев, д. 9, кв. 11";"Киров";"г.";"ул.";"Широнинцев";"9";"";"11";"087f7293-d428-49b4-a940-7b1d9b76ac6d"
"4612853";"г. Киров, ул. Широнинцев, д. 9, кв. 12";"Киров";"г.";"ул.";"Широнинцев";"9";"";"12";"087f7293-d428-49b4-a940-7b1d9b76ac6d"
"4721215";"г. Киров, ул. Широнинцев, д. 9, кв. 13";"Киров";"г.";"ул.";"Широнинцев";"9";"";"13";"087f7293-d428-49b4-a940-7b1d9b76ac6d"
"4727239";"г. Киров, ул. Широнинцев, д. 9, кв. 14";"Киров";"г.";"ул.";"Широнинцев";"9";"";"14";"087f7293-d428-49b4-a940-7b1d9b76ac6d"
"4507361";"г. Киров, ул. Широнинцев, д. 9, кв. 15";"Киров";"г.";"ул.";"Широнинцев";"9";"";"15";"087f7293-d428-49b4-a940-7b1d9b76ac6d"
"4686979";"мкр. Коминтерн, ул. 60 лет Комсомола, д. 23, кв. 24";"Коминтерн";"мкр.";"ул.";"60 лет Комсомола";"23";"";"24";"8a6e1302-647f-416e-97a2-e2c9d234410a"
"4577633";"мкр. Коминтерн, ул. 60 лет Комсомола, д. 23, кв. 25";"Коминтерн";"мкр.";"ул.";"60 лет Комсомола";"23";"";"25";"8a6e1302-647f-416e-97a2-e2c9d234410a"
"4546849";"мкр. Коминтерн, ул. 60 лет Комсомола, д. 23, кв. 26";"Коминтерн";"мкр.";"ул.";"60 лет Комсомола";"23";"";"26";"8a6e1302-647f-416e-97a2-e2c9d234410a"
"4503177";"пос. Захарищевы, ул. Пустынная, д. 2, кв. 7";"Захарищевы";"пос.";"ул.";"Пустынная";"2";"";"7";"f6330a4d-fff5-4221-86b4-378d6e640dc6"
"4578083";"пос. Захарищевы, ул. Пустынная, д. 2, кв. 70";"Захарищевы";"пос.";"ул.";"Пустынная";"2";"";"70";"f6330a4d-fff5-4221-86b4-378d6e640dc6"
"4764779";"пос. Захарищевы, ул. Пустынная, д. 2, кв. 8";"Захарищевы";"пос.";"ул.";"Пустынная";"2";"";"8";"f6330a4d-fff5-4221-86b4-378d6e640dc6"
"4633389";"пос. Захарищевы, ул. Пустынная, д. 2, кв. 9";"Захарищевы";"пос.";"ул.";"Пустынная";"2";"";"9";"f6330a4d-fff5-4221-86b4-378d6e640dc6"
"4368427";"пос. Захарищевы, ул. Старосельская, д. 12";"Захарищевы";"пос.";"ул.";"Старосельская";"12";"";"";"0cdfdbee-4706-4278-93c1-8c2ddd8227d9"
"4839605";"пос. Захарищевы, ул. Старосельская, д. 12";"Захарищевы";"пос.";"ул.";"Старосельская";"12";"";"";"0cdfdbee-4706-4278-93c1-8c2ddd8227d9"
"4425661";"пос. Захарищевы, ул. Старосельская, д. 14";"Захарищевы";"пос.";"ул.";"Старосельская";"14";"";"";"88dfc934-0b38-42c7-81b0-69ed4d97a5b6"
"4366909";"пос. Костино, пер. Прудный, д. 2";"Костино";"пос.";"пер.";"Прудный";"2";"";"";"312b5072-3569-4041-b203-bf2fbab5279b"
"4838067";"пос. Костино, пер. Прудный, д. 2";"Костино";"пос.";"пер.";"Прудный";"2";"";"";"312b5072-3569-4041-b203-bf2fbab5279b"
"4332102";"пос. Костино, ул. 60 лет СССР, д. 1";"Костино";"пос.";"ул.";"60 лет СССР";"1";"";"";"880bf4f9-d926-4bf8-943c-7649094d1518"
"4332130";"пос. Костино, ул. 60 лет СССР, д. 10";"Костино";"пос.";"ул.";"60 лет СССР";"10";"";"";"89569775-8b02-45cc-933b-56518123e20a"
"4332106";"пос. Костино, ул. 60 лет СССР, д. 10а";"Костино";"пос.";"ул.";"60 лет СССР";"10а";"";"";"9bfa145e-e3b0-42b5-a9bc-45f794803b47"
"4347127";"пос. Костино, ул. 60 лет СССР, д. 11";"Костино";"пос.";"ул.";"60 лет СССР";"11";"";"";"7dc7f992-1b14-471c-94e2-d577cf3a04d0"
"4326480";"пос. Костино, ул. 60 лет СССР, д. 12";"Костино";"пос.";"ул.";"60 лет СССР";"12";"";"";"b2f213df-eac2-43ad-88d1-29b0fc5ef641"
"4332136";"пос. Костино, ул. 60 лет СССР, д. 12а";"Костино";"пос.";"ул.";"60 лет СССР";"12а";"";"";"6c30da04-d80a-4dcb-9a5e-1d38bd70de46"
"4332282";"пос. Костино, ул. 60 лет СССР, д. 13";"Костино";"пос.";"ул.";"60 лет СССР";"13";"";"";"65fb87a7-7cfb-440c-a94b-059f64a3493a"
"5680325";"пос. Костино, ул. 60 лет СССР, д. 13";"Костино";"пос.";"ул.";"60 лет СССР";"13";"";"";"65fb87a7-7cfb-440c-a94b-059f64a3493a"
"5793133";"пос. Костино, ул. 60 лет СССР, д. 13";"Костино";"пос.";"ул.";"60 лет СССР";"13";"";"";"65fb87a7-7cfb-440c-a94b-059f64a3493a"
"4368955";"пос. Сосновый, ул. Заречная, д. 7";"Сосновый";"пос.";"ул.";"Заречная";"7";"";"";"05c76b8c-21f1-45c7-bcc1-2f7119470bb4"
"4840143";"пос. Сосновый, ул. Заречная, д. 7";"Сосновый";"пос.";"ул.";"Заречная";"7";"";"";"05c76b8c-21f1-45c7-bcc1-2f7119470bb4"
"4367869";"пос. Сосновый, ул. Заречная, д. 8";"Сосновый";"пос.";"ул.";"Заречная";"8";"";"";"a64b67b8-d5ba-4956-b9f2-068f5ed1cd22"
"4839039";"пос. Сосновый, ул. Заречная, д. 8";"Сосновый";"пос.";"ул.";"Заречная";"8";"";"";"a64b67b8-d5ba-4956-b9f2-068f5ed1cd22"
"4370955";"пос. Сосновый, ул. Заречная, д. 9";"Сосновый";"пос.";"ул.";"Заречная";"9";"";"";"7951d049-8d4c-48f0-9fce-aa53f66ee748"
"4842223";"пос. Сосновый, ул. Заречная, д. 9";"Сосновый";"пос.";"ул.";"Заречная";"9";"";"";"7951d049-8d4c-48f0-9fce-aa53f66ee748"
"4373855";"пос. Сосновый, ул. Заречная, д. 9А";"Сосновый";"пос.";"ул.";"Заречная";"9А";"";"";"892404f3-9906-4a45-8611-71166f5b1b1a"
"4845291";"пос. Сосновый, ул. Заречная, д. 9А";"Сосновый";"пос.";"ул.";"Заречная";"9А";"";"";"892404f3-9906-4a45-8611-71166f5b1b1a"
"4540727";"пос. Сосновый, ул. Луговая, д. 1";"Сосновый";"пос.";"ул.";"Луговая";"1";"";"";"98ccce19-93e7-4d9a-8b83-6429c7e2d23a"
"4540729";"пос. Сосновый, ул. Луговая, д. 1, кв. 1";"Сосновый";"пос.";"ул.";"Луговая";"1";"";"1";"98ccce19-93e7-4d9a-8b83-6429c7e2d23a"
"4553119";"пос. Сосновый, ул. Луговая, д. 1, кв. 2";"Сосновый";"пос.";"ул.";"Луговая";"1";"";"2";"98ccce19-93e7-4d9a-8b83-6429c7e2d23a"
"4451665";"пос. Сосновый, ул. Луговая, д. 10";"Сосновый";"пос.";"ул.";"Луговая";"10";"";"";"a8ceba89-b475-447e-afc2-c8737e537976"
"4368913";"с. Порошино, ул. Бассейная, д. 20";"Порошино";"с.";"ул.";"Бассейная";"20";"";"";"c5bc0bd3-8251-4f01-9c2a-6ecb52689f4a"
"4418409";"с. Порошино, ул. Бассейная, д. 3";"Порошино";"с.";"ул.";"Бассейная";"3";"";"";"09dbc638-2c44-4185-9551-5b76495e5e41"
"4464401";"с. Порошино, ул. Бассейная, д. 3, кв. 1";"Порошино";"с.";"ул.";"Бассейная";"3";"";"1";"09dbc638-2c44-4185-9551-5b76495e5e41"
"4571403";"с. Порошино, ул. Бассейная, д. 3, кв. 2";"Порошино";"с.";"ул.";"Бассейная";"3";"";"2";"09dbc638-2c44-4185-9551-5b76495e5e41"
"4799899";"с. Порошино, ул. Бассейная, д. 3, кв. 2";"Порошино";"с.";"ул.";"Бассейная";"3";"";"2";"09dbc638-2c44-4185-9551-5b76495e5e41"
"4418411";"с. Порошино, ул. Бассейная, д. 3, кв. 3";"Порошино";"с.";"ул.";"Бассейная";"3";"";"3";"09dbc638-2c44-4185-9551-5b76495e5e41"
"4589507";"с. Порошино, ул. Бассейная, д. 3, кв. 4";"Порошино";"с.";"ул.";"Бассейная";"3";"";"4";"09dbc638-2c44-4185-9551-5b76495e5e41"
"4813671";"с. Порошино, ул. Бассейная, д. 3, кв. 5";"Порошино";"с.";"ул.";"Бассейная";"3";"";"5";"09dbc638-2c44-4185-9551-5b76495e5e41"
"4438349";"с. Порошино, ул. Бассейная, д. 3, кв. 5";"Порошино";"с.";"ул.";"Бассейная";"3";"";"5";"09dbc638-2c44-4185-9551-5b76495e5e41"
"4527809";"с. Порошино, ул. Бассейная, д. 3, кв. 6";"Порошино";"с.";"ул.";"Бассейная";"3";"";"6";"09dbc638-2c44-4185-9551-5b76495e5e41"
"4552841";"с. Порошино, ул. Бассейная, д. 3, кв. 7";"Порошино";"с.";"ул.";"Бассейная";"3";"";"7";"09dbc638-2c44-4185-9551-5b76495e5e41"
